Date/time,Progress,Temperature,Humidity,Magx,Magy,Magz,Pitch,Roll,Yaw,Latitude,Longitude
2020-04-21 00:41:25.532771,1,33.2845,31.8583,-0.06428279727697372,-2.9089226722717285,8.809623718261719,9.636173461252913,60.793430594586646,88.59156968629735,"[25.0, 53.0, 21.0]","[151.0, 9.0, 1.2]"
2020-04-21 00:41:38.357932,2,33.6036,31.8772,-0.5619696378707886,-7.261587619781494,21.699291229248047,350.2976155387066,185.04673980649605,118.04062697210266,"[25.0, 16.0, 45.1]","[150.0, 33.0, 49.2]"
2020-04-21 00:41:51.183919,3,33.5739,31.8203,-1.024185299873352,-10.168028831481934,29.577274322509766,339.72498984507274,318.1304349538233,83.83506692943548,"[24.0, 39.0, 59.3]","[149.0, 59.0, 0.4]"
2020-04-21 00:42:04.033216,4,34.0377,31.8013,-1.0228890180587769,-12.11885929107666,34.49331283569336,12.23181353926607,81.35426026061681,95.5481241861445,"[24.0, 3.0, 4.0]","[149.0, 24.0, 34.1]"
2020-04-21 00:42:16.858006,5,33.6667,31.6685,-1.1191834211349487,-13.250798225402832,37.5695915222168,343.5774999898105,204.4136045942838,115.78072228142055,"[23.0, 28.0, 51.1]","[148.0, 53.0, 5.9]"
2020-04-21 00:42:29.656516,6,33.5925,31.7634,-1.0954740047454834,-13.927903175354004,39.141685485839844,344.30210792866797,338.89445250237753,79.39105898748005,"[22.0, 51.0, 38.6]","[148.0, 19.0, 20.7]"
2020-04-21 00:42:42.467974,7,33.8596,31.6116,-0.8798559308052063,-14.30944538116455,40.31188201904297,11.03708111851567,102.27937123584046,101.94219894746277,"[22.0, 14.0, 17.6]","[147.0, 45.0, 55.6]"
2020-04-21 00:42:55.287982,8,33.6778,31.6685,-0.9257672429084778,-14.568222999572754,40.81314468383789,338.57532728133435,225.61675208005116,110.75498712785512,"[21.0, 36.0, 48.5]","[147.0, 12.0, 50.2]"
2020-04-21 00:43:08.093966,9,33.9709,31.7444,-1.0160177946090698,-14.742789268493652,41.03425979614258,351.8954597478557,358.4435031947653,77.73710135920479,"[20.0, 59.0, 11.5]","[146.0, 40.0, 3.6]"
2020-04-21 00:43:20.917142,10,33.2697,31.7254,-1.2597154378890991,-14.762530326843262,41.09885025024414,9.490586271546798,122.6066084322562,107.6228604499732,"[20.0, 24.0, 21.6]","[146.0, 10.0, 4.4]"
2020-04-21 00:43:33.725632,11,33.3031,31.7065,-1.4431809186935425,-14.645734786987305,40.966365814208984,335.09276750280117,247.38496111585363,104.73635420483411,"[19.0, 46.0, 30.5]","[145.0, 37.0, 52.1]"
2020-04-21 00:43:46.523778,12,33.6741,31.7065,-1.5021764039993286,-14.548993110656738,40.785728454589844,358.0929936813727,17.990178688869154,79.68658761248817,"[19.0, 8.0, 32.5]","[145.0, 5.0, 56.7]"
2020-04-21 00:43:59.327927,13,33.5888,31.5926,-1.5548603534698486,-14.621416091918945,40.44662094116211,3.984701199047351,142.8402378860969,113.53736713909737,"[18.0, 30.0, 27.9]","[144.0, 34.0, 17.4]"
2020-04-21 00:44:12.132846,14,34.0859,31.6875,-1.6625388860702515,-14.707220077514648,39.85280227661133,332.1576046975622,269.99710832550295,97.23418370351884,"[17.0, 52.0, 17.0]","[144.0, 2.0, 53.8]"
2020-04-21 00:44:25.006064,15,33.8819,31.6875,-1.7650146484375,-14.72862434387207,40.08755874633789,3.6053994500953865,38.331240188165,82.39498301464083,"[17.0, 14.0, 0.0]","[143.0, 31.0, 45.1]"
